菜名,口味,链接
酸菜鱼,酸辣,https://home.meishichina.com/recipe-599166.html
下饭回锅肉,中辣,https://home.meishichina.com/recipe-599021.html
辣子鸡丁,香辣,https://home.meishichina.com/recipe-598046.html
虎皮尖椒,咸鲜,https://home.meishichina.com/recipe-598664.html
挂面怎么做凉面,麻辣,https://home.meishichina.com/recipe-598311.html
真滋味-酸菜鱼,酸辣,https://home.meishichina.com/recipe-597778.html
懒人版鱼香肉丝，厨艺有限，依靠调料包，比自己调味靠谱多了。,酸辣,https://home.meishichina.com/recipe-597392.html
麻婆豆腐,麻辣,https://home.meishichina.com/recipe-596966.html
东坡肘子的家常做法，香浓软糯巨好吃！,酱香,https://home.meishichina.com/recipe-596921.html
水煮黑鱼片,蒜香,https://home.meishichina.com/recipe-596633.html
快手麻辣香锅,原味,https://home.meishichina.com/recipe-596571.html
四川凉面,中辣,https://home.meishichina.com/recipe-596329.html
水煮胖头鱼,咸鲜,https://home.meishichina.com/recipe-596018.html
懒人版麻婆豆腐、又香又麻又辣，就着汤汁能吃两碗米饭。,微辣,https://home.meishichina.com/recipe-595910.html
家常水煮牛肉,香辣,https://home.meishichina.com/recipe-595790.html
四川尖椒火锅肉,微辣,https://home.meishichina.com/recipe-595235.html
泡椒猪脑,酸辣,https://home.meishichina.com/recipe-595005.html
麻辣兔头的详细制作，麻辣鲜香，色泽红润，回味悠长,麻辣,https://home.meishichina.com/recipe-594952.html
成都外围有名的小吃麻辣串串香【麻辣烫】,麻辣,https://home.meishichina.com/recipe-594948.html
蒜泥白肉,香辣,https://home.meishichina.com/recipe-593868.html
鱼香肉丝,咸鲜,https://home.meishichina.com/recipe-593993.html
正宗四川凉糕大米凉糕,甜味,https://home.meishichina.com/recipe-593206.html
小涮锅麻婆豆腐,麻辣,https://home.meishichina.com/recipe-593023.html
麻辣水煮鱼,麻辣,https://home.meishichina.com/recipe-593118.html
鱼香炒鸡蛋,咸鲜,https://home.meishichina.com/recipe-590950.html
比肉还好吃的滋味家常菜——麻婆豆腐😉,麻辣,https://home.meishichina.com/recipe-593035.html
水煮麻辣鲤鱼鱼籽,麻辣,https://home.meishichina.com/recipe-592901.html
口水鸡,香辣,https://home.meishichina.com/recipe-592814.html
家常水煮鱼,微辣,https://home.meishichina.com/recipe-592601.html
真滋味鱼香肉丝,酸甜,https://home.meishichina.com/recipe-592535.html
电饭煲自制串串香,香辣,https://home.meishichina.com/recipe-592520.html
麻辣鸡丝,麻辣,https://home.meishichina.com/recipe-592438.html
