菜名,口味,原料
家常酸汤肥牛，酸辣爽口又开胃，吃一次绝对还想下一次。,酸辣,肥牛 250克，金针菇 200克，料酒 1勺，盐 1小勺，酸汤肥牛料包 100克
宫保虾球,咸香,活虾 400g，花生米 适量，大蒜 2粒，生姜 1块，大葱 半颗，盐 1勺，生抽 1勺，老抽 半勺，白醋 1勺，白糖 1小勺，胡椒粉 1勺，香油 适量，花生油 时间，玉米淀粉 适量，料酒 1勺，灯笼椒 6个，花椒粒 1小把
元宝家的藤椒鸡🐔,麻辣,童子鸡 半只，青花椒 少许，小米辣 5个，盐巴 适量，生抽 2勺
麻辣香锅,麻辣,荤菜 适量，素菜 适量，麻辣香锅料 1包，姜 适量，干辣椒 1把，蒜 适量
来，整块烧白,其他,五花肉 适量，梅干菜 适量，姜 适量，生抽 适量，老抽 适量，盐 适量，花椒 适量，料酒 适量
钵钵鸡----附详细料汁儿做法,麻辣,蔬菜[根据自己喜好更换 适量，肉类[根据自己喜好更换 适量，鸡腿肉 两个，生姜 3g，大蒜 3g，小米辣 四个，辣椒面 两勺，花椒粉 半勺，五香粉 半勺，生抽 四勺，耗油 两勺，醋 一勺，糖 一勺，鸡粉 半勺，盐 适量，自制辣椒油 两勺
麻婆豆腐,麻辣,北豆腐 1块，猪肉馅 3两，郫县豆瓣酱 2勺，蒜 3瓣，生抽 10ml，料酒 10ml，花椒面 2勺
椒麻鸡,麻辣,鸡 半只，葱 适量，青辣椒 各1个，干辣椒 适量，花椒 适量，姜 适量，蒜 适量，红辣椒 适量，原味鲜 1勺，料酒 1勺
鱼香肉丝,鱼香,肉丝 200克，胡萝卜 80克，茭瓜 80克，黑木耳 50克，姜 20克，大蒜 30克，泡椒 20克，盐 适量，酱油 适量，老陈醋 适量，白糖 适量，水淀粉 适量
狼牙土豆,中辣,土豆 适量，盐 适量，生抽 适量，陈醋 适量，小米辣 适量，油辣子 适量，蒜末 适量，葱 适量，香菜 适量，蚝油 适量
5分钟开胃下饭的香辣豆腐,微辣,韧豆腐 1块，小葱 5棵，植物油 10克，清水 半杯，大蒜 5瓣，红剁椒 1大勺
水煮鱼,麻辣,鱼 适量，绿豆芽 适量，油麦菜 适量，水煮鱼调料 适量
虎皮辣椒,微辣,辣椒 适量，油 适量，盐 适量，生抽 适量，糖 适量，醋 适量
川味凉拌猪腱子,中辣,猪腱子肉 750克，花生碎 适量，熟芝麻 适量，葱段 适量，姜片 适量，八角 2粒，香叶 2片，料酒 2茶匙，蒜末 1茶匙，尖椒末 适量，生抽 适量，花椒粉 适量，辣椒粉 适量，白糖 少许，食盐 适量，香醋 适量
宫保鱼丁,咸鲜,龙利鱼柳 400g，花生米 适量，葱 适量，香菇 适量，红尖椒 适量，蒜 适量，油 适量，料酒 适量，豆瓣酱 适量，盐 适量，酱油 适量，淀粉 适量
四合院家香之麻婆豆腐,麻辣,豆腐 适量，糍粑辣椒 适量，豆瓣酱 适量，干辣椒 适量，胡椒粉 适量，味精 适量，蚝油 适量，料酒 适量，大蒜 适量，生姜 适量，葱 适量，盐 适量
酸菜鱼,酸辣,清江鱼 1条，鱼酸菜 1袋，葱 适量，麻椒 适量，白胡椒 1勺，姜 适量，生抽 10ml，料酒 20ml
下饭回锅肉,中辣,五花肉 300克，姜 8片，葱 2棵，红花椒 20粒，蒜 4瓣，青尖椒 4个，红尖椒 2个，生抽 1勺，老抽 几滴，豆瓣酱 半勺，鸡精 2克
辣子鸡丁,香辣,鸡腿肉 2个，干辣椒 适量，花椒 适量，蒜头 适量，盐 适量，酱油 适量，白胡椒粉 适量，糖 适量，玉米淀粉 适量
虎皮尖椒,咸鲜,尖椒 4个，蒜 3瓣，生抽 10g，蚝油 10g，盐 0.5g，水淀粉 适量，清水 适量，食用油 4g
挂面怎么做凉面,麻辣,挂面 1小把，胡萝卜 1小段，黄瓜 1小段，花生 适量，葱丝 2段，盐 适量，糖 1勺，生抽 1.5勺，醋 1勺，花椒油 少许，香油 适量，食用油 适量
真滋味-酸菜鱼,酸辣,巴沙鱼片 200g，酸菜片 适量，粉丝 适量，香辛料 适量，香菜 适量，油 适量
懒人版鱼香肉丝，厨艺有限，依靠调料包，比自己调味靠谱多了。,酸辣,瘦肉丝 150克，盐 1克，黑胡椒 适量，料酒 1勺，蛋清 1个，淀粉 适量，黑木耳 100克，胡萝卜 50克，鱼香肉丝酱 2大勺，白砂糖 5克，香醋 5克
麻婆豆腐,麻辣,嫩豆腐 适量，猪肉末 适量，姜末 适量，蒜末 适量，葱末 适量，花椒粉 适量，辣椒粉 适量，豆瓣酱 适量，生抽 适量，料酒 适量，老抽 适量，白糖 适量，水淀粉 适量
东坡肘子的家常做法，香浓软糯巨好吃！,酱香,猪肘 1个，生姜 1块，洋葱 半个，料酒 2勺，花椒 少许，八角 1个，桂皮 1块，原汁酱油 适量，豆瓣酱 2勺，蚝油 1勺，冰糖 少许，盐 适量
水煮黑鱼片,蒜香,黑鱼 一条，豆芽 适量，青菜 适量，葱 适量，红辣椒 适量，花椒 适量，藤椒 适量，姜 适量，蒜 适量，豆瓣酱 适量，油 适量，盐 适量，淀粉 适量，料酒 适量，酱油 适量，五香粉 适量，水 适量，糖 适量，辣椒粉 适量
快手麻辣香锅,原味,莲藕 1节，北极甜虾 适量，西兰花 适量，宽粉 适量，香菜 1把，各类鱼丸 适量，油 适量，葱段 适量，蒜片 3瓣，白芝麻 适量，调料 1袋
四川凉面,中辣,碱水面 适量，蒜 少许，辣椒油 适量，花椒油 适量，白糖 少许，陈醋 少许，鸡精 少许，老抽 少许，盐 少许，菜籽油 （生）少许
水煮胖头鱼,咸鲜,胖头鱼 1个，青辣椒 5个，大蒜 3粒，红辣椒 2个，猪油 10g，盐 8g，白醋 1勺，生抽 1勺，老抽 少许，香葱 1棵
懒人版麻婆豆腐、又香又麻又辣，就着汤汁能吃两碗米饭。,微辣,内酯豆腐 300克，麻婆酱 2勺，淀粉 1勺，清水 适量
家常水煮牛肉,香辣,牛肉 适量，黄豆芽 适量，西兰花 适量，豆皮 适量，木耳 适量，葱 适量，红辣椒 适量，花椒 适量，姜 适量，蒜 适量，盐 适量，油 适量，五香粉 适量，姜粉 适量，淀粉 适量，酱油 适量，料酒 适量，蚝油 适量，豆瓣酱 适量，水 适量，辣椒粉 适量，白芝麻 适量，糖 适量
四川尖椒火锅肉,微辣,坐腿肉 适量，尖椒 适量，姜 适量，大蒜 3瓣，豆瓣 适量，豆豉 适量
泡椒猪脑,酸辣,猪脑 适量，红泡椒 适量，泡野山椒 适量，泡姜 适量，葱花 适量，花椒粉 适量，豆瓣酱 适量，味精 适量，菜油 适量
麻辣兔头的详细制作，麻辣鲜香，色泽红润，回味悠长,麻辣,鲜兔头 4500克，姜块 120克，成都干辣椒 450克，香葱 110克，八角 15克，鲜汤 4800克，色拉油 1500克，小茴香 15克，古越龙山花雕酒 80克，红曲粉 45克，硝盐 1克，三奈 15克，桂皮 18克，草果 15克，花椒 45克，砂仁 15克，豆蔻 10克，香叶 2克，食用盐 180克，味素 45克
成都外围有名的小吃麻辣串串香【麻辣烫】,麻辣,成都火锅底料 500克，郫县豆瓣 150克，八角 10克，香叶 10克，花椒 50克，干辣椒 50克，醪糟汁 50克，味精 50克，料酒 50克，山奈 5克，桂皮 5克，小茴香 5克，豆蔻 5克，砂仁 5克，紫草 5克
蒜泥白肉,香辣,五花肉 一块，绿豆芽 适量，蒜泥 适量，姜末 适量，盐 适量，糖 适量，辣椒油 适量，花椒面 适量，生抽 适量，熟芝麻 适量，熟油 适量，香菜 适量，葱末 适量
鱼香肉丝,咸鲜,猪里脊肉 300g，冬笋 200g，泡发木耳 60g，胡萝卜丝 60g，青椒丝 30g，姜末 适量，蒜末 适量，郫县豆瓣酱 半匙，酱油 2匙，白糖 2匙，醋 1匙，淀粉 1匙，水 1勺
正宗四川凉糕大米凉糕,甜味,桂朝米 250克，石灰水 适量，清水 适量
小涮锅麻婆豆腐,麻辣,豆腐 500g，麻婆豆腐调料 1袋，水淀粉 适量，香葱 1颗
麻辣水煮鱼,麻辣,黑鱼片 适量，虾 适量，莴笋 适量，黄豆芽 适量，海鲜菇 适量，小西葫 适量，洋白菜 适量，花椒 适量，干辣椒 适量，麻椒 适量，郫县豆瓣酱 适量，欣和豆瓣酱 适量，麻辣酱 适量，蒜蓉辣酱 适量，料酒 适量，生抽 适量，白糖 适量，小葱 适量
鱼香炒鸡蛋,咸鲜,鸡蛋 3个，胡萝卜 半个，木耳 适量，葱 适量，泡椒 少许，芹菜 一根，姜 适量，蒜 适量，泡姜 适量，盐 少许，色拉油 一匙，料酒 少许，酱油 一匙，醋 半匙，老抽 1/5匙，白糖 少许，鸡精 少许，番茄酱 少许
比肉还好吃的滋味家常菜——麻婆豆腐😉,麻辣,豆腐 1块，花椒 适量，葱 适量，花椒粉 适量，老干妈 适量，豆瓣酱 适量，盐 适量，食用油 适量，红薯淀粉 适量，姜 适量，蒜 适量
水煮麻辣鲤鱼鱼籽,麻辣,鲤鱼 适量，鱼籽 适量，豆腐 适量，豆瓣酱 适量，火锅料 适量，干辣椒 适量，花椒 适量，姜 适量，蒜 适量，葱段 适量，菜油 适量，胖子麻辣鱼调料 适量，八角 适量，小青椒 适量
口水鸡,香辣,白斩鸡 半只，白芝麻 10克，花椒粉 15克，大蒜 3颗，辣椒粉 10克，熟花生米 15克，红油 30毫升，甜面酱 15克，盐 3克，酱油 15毫升，米醋 5毫升，白糖 10克，色拉油 100毫升
家常水煮鱼,微辣,草鱼 一条约3斤，角瓜 一根，豆芽 适量，海天味极鲜酱油 少许，葱 适量，料酒 少许，火锅底料 半块，郫县豆瓣 一汤勺，淀粉 少许，味精 少许，姜 适量，蒜 适量，盐 适量，麻油 适量
真滋味鱼香肉丝,酸甜,真滋味鱼香肉丝 一包，葱 适量，木耳 适量，胡萝卜丝 适量，土豆丝 适量
电饭煲自制串串香,香辣,鸡腿 1个，西兰花 1小朵，土豆 1个，藕 半个，鱼豆腐 6个，鱼丸 6个，海带结 3个，火锅底料 半块，葱 2段，八角 2个，糖 适量
麻辣鸡丝,麻辣,鸡胸肉 2块，香菜 1颗，葱 1段，姜 1小块，香叶 2片，八角 1个，生抽 10ml，醋 5ml，香油 15ml，辣椒油 5ml，白糖 半匙，盐 1匙，花椒油 5ml，料酒 适量
