菜名,口味,原料
椒盐鱼柳,咸鲜,草鱼 1段，盐 1克，料酒 1勺，色拉油 300克
粢饭包油条,微辣,糯米饭 1大碗，甜辣酱 适量，熟咸鸭蛋 2个，油条 1根，肉松 适量，老干妈豉油 少许
香菇板栗烧子鸡,咸鲜,板栗 300克，香菇 6朵，走地童子鸡 1只，小葱 两三根，老抽 适量，桂皮 一段，鸡精 少许，冰糖 少许，姜片 4-5片，生抽 适量，香叶 2片，丁香 少许，蚝油 适量
笋干菜,咸鲜,雪里蕻 20斤，盐 300克，盐 适量，毛笋 20斤
儿时的美味记忆【红烧石蛙】,微辣,石蛙 适量，五花肉 适量，紫苏叶 适量，韭菜花 适量，红椒圈 适量，姜粒 适量，大蒜子 适量，二锅头酒 适量，胡椒粉 适量，盐 适量，老抽 适量，鸡精 适量，蒸鱼豉油 适量，生粉水 适量
梅干菜饼,咸甜,面粉 150克，开水 110克，梅干菜 15克，肉末 150克，糖 1茶匙，油 适量
清明果,甜味,糯米粉 200g，艾粉 10g，红豆沙 适量，水 200g，橄榄油 适量
红烧划水,咸鲜,鱼尾 600克，青辣椒 适量，红辣椒 适量，青蒜 适量，香菜 适量，郫县豆瓣酱 30克，红烧酱油 50克，料酒 30ML，香醋 20克，糖 10克，姜 适量，葱 适量，食用油 适量
全家福汤,清淡,母鸡 1只，鸡蛋 4个，胡萝卜 1根，木耳 适量，葱 1根，姜 1块，八角 3粒，盐 适量
干贝蒸萝卜,咸鲜,白萝卜 适量，干贝 适量，葱 适量，红辣椒 适量，姜 适量，高汤 适量，生抽 适量，盐 适量，糖 适量，料酒 适量，烹调油 适量
土豆老鸭汤--宴客菜,清淡,老鸭 适量，土豆 适量，盐 适量，生姜 适量，香葱 适量，桂皮 适量，八角 适量，茶籽油 适量
翡翠虾仁,清淡,虾仁 150克，莴笋 30克，食用油 适量，盐 适量，糖 适量，鸡蛋清 适量，姜 适量
酱香琵琶腿卤蛋,酱香,琵琶腿 适量，鸡蛋 适量，葱 适量，姜 适量，大料 适量，花椒 适量，香叶 适量，料酒 适量，酱油 适量，生抽 适量，老抽 适量，盐 适量，白糖 适量
干锅啤酒鸭,微辣,鸭子 半只，莲藕 250克，芹菜 100克，葱 1小段，姜 5-6片，蒜 4瓣，干红辣椒 10-15个，花椒 1克，生抽 2汤匙，老抽 几滴，糖 4克，啤酒 1瓶（600毫升），盐 适量
香菇卤豆干,咸鲜,五香豆干 适量，干香菇 适量，盐 适量，鸡汤 适量，鸡油 适量
拔丝芋头,甜味,芋头 1块，冰糖 50克，茶油 50克
酱汁面筋包肉,酱香,猪肉末 200克，面筋包 6个，青菜 适量，甜辣酱 适量，葱 适量，料酒 1勺，糖 适量，生粉 1勺，鸡蛋 1个，生抽 适量，蚝油 适量，盐 适量，八角 适量，姜 适量
拔丝芋头,甜味,芋头 300克，冰糖 50克，芝麻 5克
黄山臭鳜鱼,咸鲜,黄山臭鳜鱼 1条（净膛），五花肉丁 30克，蒜子 10个，干朝天椒 5个，生姜 5克，小香葱 4棵，老抽 1匙，生抽 2勺，黄酒 3匙，安徽菜籽油 40克，白糖 1勺，胡椒粉 3克，米醋 2匙
老鸭汤,清淡,老鸭 1只，枸杞 15克，山药 2片，桂圆 15克，料酒 适量，红枣 15克，芡实 15克，莲子 15克，杏仁 15克，盐 适量
清蒸胡萝卜肉丸,咸鲜,猪肉 200克，胡萝卜 50克，大葱 适量，生姜 适量，盐 适量，生抽 少许，淀粉 少许，胡椒粉 少许，花生油 少许
翡翠虾仁,咸鲜,鲜虾 10个，上海青 2棵，盐 1/2勺，料酒 1勺，酱油 1勺，胡椒粉 1/2勺，生粉 1勺，鸡粉 1/2勺
酱爆刀豆,咸鲜,刀豆 300克，大蒜 1个，黄豆酱 1勺，盐 2克，黄酒 1茶匙，蚝油 1茶匙
萝卜丝小黄鱼汤,咸鲜,小黄鱼 240克，萝卜 100克，香葱 适量，料酒 适量，生抽 适量，盐 适量，味精 适量
鸡汁回卤干,咸鲜,豆腐 200克，鸡胸肉 1个，黄豆芽 50克，香菜 适量，白胡椒 2克，盐 5克，生姜 3克，大葱 5克，剁椒 1汤匙，九三鲜榨花生油 适量
糯米丸子,清淡,鲜肉 250克，姜汁 1匙，生抽 1匙，盐 1.2克，酱汁 1匙，鸡精 1.克
肉末彩椒杯,咸鲜,瘦肉 100克，茭白 100克，红柿子椒 半个，黄柿子椒 半个，鸡蛋 一个，盐 适量，香油 适量，生姜 一块，小葱 两棵，黑胡椒粉 少些，生抽 适量，蚝油 少些，玉米淀粉 少些，水淀粉 少些
鸭油饼,咸鲜,面粉 400g，鸭油 100g，葱 2棵，盐 适量，黑胡椒 少量
香菇豆腐镶肉,咸鲜,豆腐 300g，猪肉末 50克，鲜香菇 4朵，油 25ml，红烧酱油 2汤匙，蚝油 一汤匙，水淀粉 2汤匙，葱花 2克，香油 一茶匙
柠檬腐乳蒸鸡块,咸鲜,鸡腿 2只，柠檬酱 20g，腐乳 2块，土豆 一个，盐 适量，白糖 适量，大葱 适量，姜 适量，蒸鱼豉油 适量，干辣椒 适量，小米椒 适量
梅菜扣肉,咸鲜,梅干菜 一小碗，带皮五花肉 一块，料酒 少许，酱油 少许，盐 少许，鸡粉 一小勺，水淀粉 少许，卤肉料 一包，葱 一段，姜 一块，香葱 少许
香干四季豆,中辣,四季豆 100克，辣椒 1/2个，腊肉香干 50克，盐 少许，油 适量，酱油 1汤匙，鸡粉 少许，清水 少许
豆豉蒸排骨,咸鲜,肋排 600克，豆豉 30克，葱 10克，姜 10克，蒜 10克，生抽 30ml，料酒 30ml，盐 20克，淀粉 30克，花生油 40克
鱼香荸荠炒秋葵,酱香,黄秋葵 150g，绞肉 80g，荸荠 1碗，葱姜蒜末 各1大匙，豆瓣酱 1大匙，西红柿酱 2大匙，酱油 1大匙，醋 2大匙，糖 1大匙，盐 适量
番茄烩海虾,酸咸,海虾 300克，番茄 250克，油 适量，盐 适量，料酒 适量，先抽 适量，姜 适量，葱 适量，蒜 适量，胡椒粉 适量
香菇板栗鸡腿煲,咸鲜,鸡腿 2个，香菇 4个，板栗 12个，八角 2个，花椒 12个，葱 3棵
虎皮青椒,酸辣,青椒 10个，豆豉 30克，黄豆酱 30克，蒜米 5粒，米醋 适量，蚝油 适量
老酱秋刀鱼,酱香,秋刀鱼 200g，油 5ml，老酱 30g，糖 5g，姜 5g
【徽式炸酱】,中辣,猪肉 100g，徽式龙湾茶干 150g，辣椒 50g，黄豆酱 20g，麻辣鲜酱 20g
腊肠蒸鳊鱼,咸鲜,鳊鱼 1条，腊肠 小半根，土豆 1个，色拉油 适量，料酒 2勺，盐 适量，生抽 2勺，胡椒粉 少许，砂糖 半小勺，姜 1段，葱 3根，红辣椒 1个
南乳笋烧肉,咸鲜,笋干 4块，花肉 1条，南乳 4块，姜片 3块，葱花 适量，酱油 1匙，蠔油 2匙，单晶冰糖 10块
五香荷叶粉蒸肉,五香,五花肉 400g，五香米粉 适量，五香粉 适量，料酒 2勺，生抽 适量，盐 少许
淮山药老鸭汤,咸鲜,鸭子 1只，姜 5块，麦冬 5粒，干草 4片，黄芪 3片，枸杞 10粒，沙参 2小段，盐 2勺，米酒 20克
干果青笋兔肉,咸鲜,兔肉 半只，青笋 1根，干辣椒 3-5个，麻椒 适量，白芝麻 1小把，食用油 适量，生抽 1大勺，蚝油 半勺，盐 半小勺，糖 半小勺
豆瓣烧武昌鱼,微辣,武昌鱼 1条，豆瓣酱 适量，香菜 适量，姜片 适量，白酒 适量，生抽 适量，油盐 适量
白斩鸡,清淡,草鸡 1只，油 适量，盐 适量，沙姜 适量，细香葱 适量，芝麻油 适量，白糖 适量，冰水 适量
豆豉鸡翅,中辣,鸡翅 500g，食用油 50g，料酒 50g，豆豉酱 50g，水 500ml
【芸芸小厨】带我回家的味道——全家福,五香,黄花菜 62g，鸡蛋 1个，香菇 四五朵，鸡腿 半个，木耳 少许，山药 小半根，胡萝卜 小半根，水 800g，蒜苗 5g，盐 少许，十三香 少许
