菜名,口味,原料
杭椒牛柳,微辣,牛柳 200g，杭椒 50g，红椒 适量，红酒 1勺，黑胡椒 1/2匙，蚝油 1勺，香油 1勺，生抽 少许，食用油 适量，淀粉 1匙，水 少许，盐 1/2匙
南瓜蒸肉,咸鲜,南瓜 适量，猪肉末 适量，香菇 5个，生抽 适量，姜 适量，香油 适量，鸡蛋 一个
蕃莳庆糕,甜味,番薯丝粉 适量，糯米粉 适量，红糖 适量，芝麻 适量，糖桂花 适量
萝卜丝索面,清淡,毛芋 适量，白萝卜 适量，索面 适量，香菜 适量，油 适量，盐 适量，料酒 适量
米筛爬,清淡,面粉 300g，紫薯 200g，青菜 100g，胡萝卜 1个，虾干 20g，豆腐干 50g，木耳 50g，油 1勺，盐 1小勺，生抽 1勺
咸干菜扣肉,咸鲜,五花肉 适量，咸干菜 适量，盐 适量，生抽 适量，老抽 适量，米酒 适量，花椒 适量，姜 适量，蒜 适量，十三香 适量，小米辣 适量，鸡粉 适量
开洋肉米芋头羹,咸鲜,芋头 1块，豆腐 1盒，开洋 50克，精肉 1块，葱 适量，姜 适量，盐 少许，胡椒粉 少许，料酒 1小勺，生粉 少许
奇亚籽腐乳肉,咸甜,五花肉 1000g，腐乳汁 200g，奇亚籽 5g，红糖 30g，水 1L
梅干菜炖排骨,咸香,五花肉 一条，排骨 两条，梅干菜 两碗，酱油 适量，白糖 适量，盐 适量，料酒 适量，辣椒 适量，葱 适量，姜 适量，鸡精 适量
八宝鸡,原味,三黄土鸡 1只，生姜 适量，料酒 适量，盐 适量，老抽 适量，党参 适量，当归 适量，红枣 适量，紫苏干叶 适量，桂圆 适量，莲子 适量，花生 适量，薏米 适量，枸杞 适量，香葱 适量
宋嫂鱼羹,其他,鲈鱼 1条，黄酒 5ml，醋 10ml，火腿 2片，盐 3g，鸡蛋 1个，香菇 3朵，春笋 20g，白胡椒粉 3g，淀粉 10g，小葱 适量
番薯汤果,甜味,糯米粉 适量，红薯 适量，糖桂花 适量
【冬至】宁波的冬至会吃烤菜年糕,其他,天菜 4颗，年糕 3根，白糖 30g，老抽 适量，生抽 适量，食用油 适量
东坡肉,酱香,五花肉 600克，黄酒 200克，生抽 50克，老抽 20克，冰糖 30克，香葱 50克，姜 20克，桂皮 1块，八角 2个，香叶 2片
杭椒牛柳,咸鲜,牛里脊 300克，杭椒 200克，红辣椒 半个，葱 少许，姜 两片，蒜 三瓣，小苏打 适量，料酒 适量，酱油 适量，盐 适量，白糖 适量，淀粉 适量，蚝油 适量
萌趣猫爪青团,甜味,糯米粉 120克，大米粉 80克，可可粉 适量，红豆沙 250克，白砂糖 30克，青叶 适量，开水 适量
清蒸鳜鱼,原味,鳜鱼 750g，料酒 20ml，蒸鱼豉油 20ml，盐 3g，辣椒丝 3g，小葱 15g，姜 20g，玉米油 20毫升，猪油 20g
包菜炒年糕,其他,宁波年糕 250克，包菜 150克，植物油 适量，葱花 少许，盐 少许，原味香菇酱 40克
桂花糯米藕,甜香,藕 2个，红糖 适量，糯米 适量，桂花 适量
西湖牛肉羹,清淡,熟牛肉 四两，香菇 四朵，豆腐 四两，胡萝卜 一个，葱 一根，香菜 一根，蛋清 一个，盐 1匙，鸡精 少量，白胡椒 适量，香油 适量，水淀粉 适量，味精 少量
西湖醋鱼,酸甜,鲤鱼 一条，葱 适量，姜 适量，蒜苗 适量，香醋 一汤勺，酱油 少量，生抽 少量，料酒 少量，味精 少量，盐 1匙，白糖 适量，十三香 适量，鸡精 少量
糖醋鱼,酸甜,海鱼 一条，菠萝 1/4个，洋葱 1/4，西红柿 1个，米醋 3勺子🥄，糖 5勺子🥄，面粉 30克，淀粉 20克，酱油 2勺子🥄，盐 少许，米酒 少许，泰式甜辣酱 2大勺，姜 1块，小葱 2根
金城宝塔,原味,五花肉 1大块，西兰花 20克，花菜 20克，泡菜 40克，蚝油 1勺，老抽 3勺，高汤粉 2勺，淀粉 1勺，盐 2小勺，食用油 适量
何氏东坡肉,咸香,五花肉 600克，味极鲜 适量，大葱 适量，冰糖 适量，加饭酒 适量，姜 适量，八角 适量，香叶 适量，桂皮 适量，陈皮 适量
梅菜扣肉-醇香软糯,咸甜,五花肉 500g，梅干菜 150g，花生油 20ml，大蒜 4瓣，生抽 3勺，蚝油 1勺，白糖 10g，姜 5片，八角 1枚
豆腐蒸黄鱼,咸鲜,大黄鱼 1条，老豆腐 2块，彩椒 少许，葱 少许，姜 少许，盐 少许，料酒 少许，蒸鱼豉油 少许
江南红烧肉,咸香,五花肉 800克，葱 5个，料酒 200克，生抽 70克，老抽 1大勺，冰糖 50克，八角 3个，桂皮 1小段，姜 5个，蒜 5个，香叶 3个
梅菜扣肉,咸鲜,五花肉 500克，梅菜干 200克，姜 几片，蒜头 几瓣，干辣椒 几个，盐 适量，生抽 适量，老抽 适量，蚝油 适量，鸡粉 适量，五香粉 适量
红烧梭子蟹,咸鲜,梭子蟹 3只，葱 适量，姜 适量，料酒 1大勺，老抽 半勺，生抽 2大勺，白糖 适量，生粉 适量
清蒸大闸蟹,清淡,大闸蟹 3只，生姜 一个，小葱 一把，蟹香醋 一瓶
西湖醋鱼,酸甜,鲈鱼 1条，青椒 少许，食用油 适量，陈醋 适量，白糖 适量，葱 少许，盐 少许，料酒 少许，淀粉 适量，红椒 少许
叫花鸡,五香,鸡 一只，香葱 适量，料酒 适量，生姜 适量，胡椒粉 适量，生抽 适量，盐 适量，十三香 适量，香菇 适量，腊肉 适量，荷叶 适量，黄泥 适量
西湖牛肉羹,原味,牛肉 适量，香菇 2个，鸡蛋 1个，麻油 适量，白胡椒粉 适量，盐 少许，鸡精 少许，香菜 适量，生粉 适量
八珍糕,甜味,茯苓 50g，山药 50g，莲子 50g，薏仁 50g，芡实 50g，白扁豆 50g，糯米粉 100g，粘米粉 100g，白糖 100g
宋嫂鱼羹,清淡,鲈鱼 1条，火腿 2片，鸡蛋 1个，春笋 20g，新鲜香菇 3朵，小葱 适量，姜 适量，黄酒 5ml，醋 10ml，白胡椒粉 3g，淀粉 10g，盐 3g
清蒸鳜鱼,咸鲜,鳜鱼 400g，生姜 5片，香葱 5棵，生抽 0.5勺，蒸鱼豉油 0.5勺，盐 少许，红辣椒 0.5个，食用油 适量
梅干菜烧肉,咸鲜,五花肉 500克，梅干菜 200克，老抽 1大勺，生抽 2大勺，料酒 2大勺，白糖 适量，葱 适量，姜 适量
家烧硬壳虾,咸鲜,硬壳虾 500g，姜 适量，酱油 适量，青甜椒 适量，盐 适量，葱 适量
梅干菜扣肉,微辣,五花肉 2000克，梅干菜 300克，盐 一茶匙，鸡粉 半茶匙，老抽 两茶匙，辣椒粉 一茶匙，姜 一块，料酒 30毫升，花椒 一小把，葱 六根
红烧蹄筋,咸鲜,蹄筋 300g，葱 10g，姜 5g，蒜 10g，黄瓜 20g，糖 0.5匙，酱油 1匙，蚝油 1匙
【温州】奶汤跳跳鱼,咸鲜,跳跳鱼 500g，油 适量，姜 适量，盐 适量，白糖 适量，葱 适量，胡萝卜 适量，虫草花 适量，干香菇 适量，鸡精 适量，白胡椒粉 适量，料酒 适量
【温州】海蜒拌韭苔,咸鲜,丁香鱼 适量，红皮花生米 适量，韭菜苔 适量，芝麻油 适量，盐 适量，香醋 适量，鸡精 适量，白糖 适量，食用油 适量
无锡名菜--四喜面筋,咸甜,油面筋 8个，鲜笋 半个，干香菇 8个，鲜虾仁 60g，香葱 20g，蚝油 一勺，白糖 20g，香油 一茶匙，水淀粉 30g
塌扁土豆,葱香,熟土豆 一盘，盐 适量，味精 适量，葱白 适量，料酒 适量，油 一碟
糖醋带鱼,酸甜,带鱼 适量，圆葱 适量，香菜 适量，蒜 适量，姜 适量，面粉 适量，生抽 适量，料酒 适量，十三香 适量，糖 适量，白醋 适量，鸡精 适量，盐 适量
辣炒毛豆,微辣,毛豆 250g，蒜苗 100g，咸菜 100g，小米辣 20g，杭椒 20g，泡椒 10g，酱油 5g，老抽 5g，蒜 5g，海南灯笼辣酱 10g
江南水乡鱼圆,原味,胖头鱼尾 二个，盐 适量，水 适量
芡实糕,甜味,芡实 100g，大米 50g，糖 30g
红糖糯米藕,甜味,红枣 16颗，糯米 230克，莲藕 1400克，冰糖 50克，红糖 70克
秋妍的糖醋里脊,酸甜,猪里脊 200g，白糖 3匙，面粉 适量，番茄酱 3匙，白醋 2匙，鸡蛋 1个，淀粉 适量
