菜名,口味,原料
清蒸大闸蟹,咸鲜,大闸蟹 2只，老姜 一块，大蒜 2颗
清蒸大闸蟹,其他,大闸蟹 7个，生姜 适量，大蒜 适量，醋 4勺，生抽 1.5勺，糖 适量，芝麻油 适量
清蒸大闸蟹,其他,大闸蟹 数只，姜 适量，生抽 10ml，香醋 15ml
把子肉,微辣,五花肉 500克，老抽 适量，生抽 适量，料酒 适量，蚝油 适量，生姜 一小块，香叶 二片，花椒 一小撮，小茴香 一小撮，桂皮 小半个
清蒸大闸蟹,原味,大闸蟹 4只，油 1勺，生姜 1块，生抽 1勺，香醋 2勺
猪肉汤团 汤圆,咸甜,水磨糯米粉 300g，猪肉 适量，盐 适量，料酒 适量，蚝油 适量，鸡蛋 适量，鸡精 适量，白糖 适量
黄焖鸡家庭版,中辣,鸡腿 两个，红椒 一个，花椒 若干，料酒 适量，土豆 两个，八角 五个，蚝油 一勺，葱 一个，青椒 一个，干香菇 五朵，木耳 半碗，姜 半块
腌笃鲜,咸鲜,春笋 几根，腊排骨 一根，五花肉 一块，老姜 一块，料酒 一勺，葱 几根，白菜 一颗，青笋 半只
【自带文化味道的茄子】茄胙,原味,笋 1块，茄子 2根，平菇 3朵，干香菇 3朵，鸡胸肉 1块，杏鲍菇 1/2根，清鸡汤 适量，盐 适量，白酒 适量，油 一勺，蚝油 少许，淀粉 2小勺，味极鲜 适量
清蒸黄花鱼,咸鲜,黄花鱼 一条，葱 两根，姜 一块，青辣椒 一根，红辣椒 一根，香菜 适量，盐 适量，味精 适量，白糖 适量，鸡精 适量，蒸鱼豉油 适量
腐乳炒菜心,葱香,白菜心 500克，腐乳 30克，花生油 5ml，盐 1克，蒜 10克
腌笃鲜,咸鲜,春笋 4根，咸肉 150g，猪蹄 650g，盐 少许，料酒 3勺，姜片 3片
【江苏】红烧肉圆（家乡六大碗之六）,咸鲜,肉馅 750克，糯米 500克，鸡蛋 4至5只，葱 适量，姜 适量，盐 1汤匙，鸡精 少许，淀粉 适量，料酒 1汤匙，胡椒粉 少许，食用油 适量
【江苏】涨蛋糕（家乡六大碗之五）,咸鲜,鸡蛋 5只，菠菜 少许，葱 少许，盐 1.5茶匙，鸡精 少许，胡椒粉 少许
【扬州】清炖狮子头,咸鲜,猪腿肉 600g，莲藕碎 100g，盐 8g，浓汤宝 1盒，葱花 15g，姜末 20g，糖 2g，白胡椒粉 1g，料酒 5g，玉米淀粉 10g，青菜心 8颗，枸杞子 20粒，鸡蛋 1个
苏式熏鱼,咸甜,鱼块 500g，生抽 30g，苏式熏鱼腌料 35g，老抽 30g
苏式响油鳝丝,咸鲜,茭白 1根，黄鳝 400g，料酒 适量，猪油 适量，蚝油 适量，盐 适量，老抽 少许，葱 适量，蒜 3瓣，水淀粉 适量，冰糖粉 少许，姜 适量
【盐水虾】--- 最简单、最经典的虾做法,清淡,九节虾 250克，生姜 3片，香葱 2根，花椒 1小把，八角 2个，桂皮 1小块，盐 2茶勺，料酒 1汤勺
懒人盐水虾,咸鲜,大头虾 1斤，姜 1块，盐 1勺，糖 1勺，黄酒 2勺，花椒 适量
【自制松子枣泥麻饼】苏州传统名点,甜味,中筋面粉 320克，熟中粉 320克（微波加热），饴糖 380克（水饴/麦芽糖），猪油 70克，小苏打 12克，水 95克，高筋粉 30克（防粘撒粉用），黑枣泥 750克，豆沙 750克，松子 70克，玫瑰花酱 30克，糖猪油丁 140克，白芝麻 350克
鸭血粉丝汤,微辣,鸭架 1只，鸭血 300克，细粉条 适量，熟鸭肠 适量，熟鸭肝 适量，熟鸭胗 适量，熟鸭心 适量，豆泡 适量，辣椒油 适量，胡椒粉 适量，盐 适量，香菜 适量，鸡精 适量，米醋 适量，姜片 适量
盐水虾,咸鲜,基围虾 500克，葱 1根，姜 3片，八角 1个，桂皮 1小段，花椒 1匙，盐 1匙，料酒 1匙
松鼠鳜鱼,酸甜,鳜鱼 1条，800克，番茄酱 适量，白醋 适量，糖 适量，盐 适量，吉士粉 适量，葱姜 适量
清炖蛤蜊狮子头,咸鲜,蛤蜊 400克，前腿夹心肉 400克，丝瓜 2条，白玉菇 1盒，葱 适量，姜 适量，料酒 1汤匙，玉米淀粉 5克，橄榄油 少许，盐 适量
西湖牛肉羹,咸鲜,瘦牛肉 100g，金针菇 100g，南豆腐 100g，蛋清 1个，清鸡上汤 500ml，水淀粉 适量，盐 适量，糖 适量，胡椒粉 适量，香菜 适量
【清蒸手工狮子头】--- 来自乡间的味道,清淡,猪腿肉 500克，马蹄 6个，生姜 1块，香葱 3根，粗地瓜粉 1汤勺，水淀粉 少许，食盐 1.5茶勺，生抽 1汤勺，料酒 1/2汤勺，白糖 1茶勺，烤肉酱 少许
面筋塞肉,咸鲜,油面筋 一袋，猪肉馅 适量，白菜 适量，料酒 适量，生抽 适量，酱油 适量，胡椒粉 适量，五香粉 适量，盐 适量，葱 适量，姜 适量
炖出来的美味---【香菇炖鸡】,清淡,小公鸡 半只，香菇 适量，大枣 数个，枸杞 少许，葱姜 适量，耗油 少许，食盐 少许
双菇炖鸡,微辣,鸡翅膀 适量，香菇 适量，杏鲍菇 适量，植物油 适量，精盐 适量，生姜 适量，小葱 适量，桂皮 适量，老抽 适量，红椒 适量
蜜三刀,甜味,面粉 500克，麦芽糖 300克，酵母 3克，芝麻 适量，食用油 适量
无油烹鱼-家庭制【西湖醋鱼】（选料、片鱼、调味步步详细）,酸甜,草鱼 700g，生姜 适量，水淀粉 适量，糖 60g，香醋 50g，生抽 适量，老抽 一大勺
虎皮鸡蛋、超简单的美食,咸甜,鸡蛋 吃几个用几个，白糖 适量，盐 少量调味，料酒 几滴去腥，酱油 几滴上色
阳澄湖大闸蟹的经典吃法－清蒸,清淡,阳澄湖大闸蟹 2500克，绵白糖 150克，姜末 50克，酱油 100克，香油 20克，葱花 适量，香醋 适量
梅菜扣肉,原味,三层肉 800，梅菜 适量，老抽 适量，花椒 适量，盐 适量
清蒸狮子头,咸鲜,肉糜 250克，笋 三根，西兰花 100g，木耳 50g，葱 一段，姜 两块，火腿 一块，豆腐皮 一张，蛋清 一个，食用油 半汤匙，淀粉 一汤匙，盐 两茶匙，黑胡椒 一茶匙，生抽 一汤匙，大骨头汤 一碗
【家宴上的一道主打菜】酱汁狮子头,酱香,五花肉 适量，香葱 适量，蒜末 适量，姜末 适量，十三香 适量（或胡椒粉），盐 适量，料酒 2勺，蜂蜜 1勺，淀粉 1大勺，蚝油 1勺，烤肉酱 1勺，白糖 适量，生抽 2勺，鸡精 适量
清蒸鱼糜狮子头,咸鲜,龙脷鱼肉 一块 150克，猪颈肉 一块 150克，荸荠 70克（剥皮），香菜末 适量，枸杞子 适量，精盐 3克，味精 1克，胡椒粉 0.5克，绍酒 15克，葱姜水 40克，生粉 20克，浓缩鸡汁 15克，葱段 10克，姜片 5克，清水 适量
腌笃鲜,咸鲜,咸猪肉 适量，鲜五花肉 适量，竹笋 适量，莴笋 适量，鸡汤 适量，百叶结 适量，生姜 适量，小葱 适量，料酒 适量，盐 适量
三鲜馄饨,咸鲜,鱼肉 适量，薄馄饨皮 适量，虾仁 适量，猪肉馅 适量，葱 适量，香菜 适量，酒 适量，淀粉 适量，盐 适量，胡椒粉 适量，香油 适量，蛋清 适量，高汤 适量
传统宴客菜肴“松鼠鳜鱼”,酸甜,净膛鳜鱼 650克，果脯丁 20克，菠萝丁 20克，青豌豆 20克，枸杞 15克，葱段 20克，姜片 15克，绍酒 20克，盐 5克，白米醋 50克，番茄酱 30克，白糖 80克，鸡蛋黄 1枚，干玉米淀粉 适量，水淀粉 适量，烹调油 适量
酒酿圆子,甜味,酒酿 适量，糯米粉 适量，糖 适量
清炖甲鱼,咸鲜,甲鱼 1个，葱 适量，姜 适量，莲子 20克，红枣 5个，桂圆 5个，料酒 适量，盐 适量
黄焖栗子鸡,咸鲜,三黄鸡 一只 650克，板栗肉 200克，香菇 60克，冬笋 60克，烹调油 适量，葱段 30克，姜片 10克，八角 2克，香叶 1片，黄酒 25克，酱油 15克，蚝油 25克，盐 1克，白糖 10克，味精 2克，胡椒粉 适量，玉米淀粉 适量
琥珀桃仁,甜味,核桃 10个，白糖 适量，蜂蜜 适量
家庭自制盐水鸭,原味,鸭子 一只，盐 适量，花椒 适量，五香粉 适量，葱 适量，姜 适量，大茴 适量，黄酒 适量
【苏菜】 无锡酱排骨,咸甜,排骨 600克，姜 1大块，蒜头 3个，八角 2个，芝麻 少许，白糖 15克，酱油 适量，料酒 适量
【苏菜】--鸡丝春卷,咸鲜,面粉 200克，鸡脯肉 150克，冬笋 100克，大葱 40克，猪油 200克，精盐 3克，白糖 5克，味精 2克，胡椒粉 2克，淀粉 5克，香油 5克，鲜汤 30克，花生油 适量
【苏菜】苏式熏鱼,咸甜,罗非鱼 一条（600克），小葱 2根，姜 1小块，大料 2个，桂皮 1根，草果 1个，香叶 2片，茴香 2克，盐 少许，糖 200克，老抽 适量，生抽 适量，绍酒 适量
【苏菜】：文思豆腐羹,清淡,鸡蛋豆腐 适量，泡发冬菇 适量，火腿 适量，冬笋 适量，木耳菜 适量，高汤 适量，盐 适量，水淀粉 适量
【苏菜】话梅卤汁豆腐干,五香,豆腐干 5-8块，话梅 一颗，八角 2颗，桂皮 2小片，小茴香 适量，香叶 2片，生抽 2汤匙，红烧汁 1汤匙，冰糖 5-8粒，清水 适量
五味干丝,咸鲜,豆腐干 100克，火腿丝 50克，榨菜丝 30克，胡萝卜丝 30克，鸡肉丝 50克，香菜 适量，酱油 适量，白糖 适量，盐 适量，芝麻油 适量
【苏菜】茶香烟熏鸡,其他,仔公鸡 半只，龙井茶叶 20克，梅酒 适量，盐 适量，姜 适量，香葱 适量，花椒 30克，糖 适量，酱油 适量，香油 适量，茶叶 适量，红糖 适量，大米 适量，调料包 适量
【苏菜】---盐水虾,咸鲜,河虾 250克，葱 适量，姜 适量，料酒 15克，大料 一个，花椒 10粒，盐 适量
卤香菇,咸鲜,香菇 200克，葱 适量，姜 适量，花生油 适量，鸡精 适量，酱油 适量，糖 适量，芝麻油 适量
【苏菜】--大煮干丝,咸鲜,豆腐皮 300克，鸡胸肉 50克，虾仁 20克，火腿 30克，冬笋 25克，熟猪油 25克，盐 6克，上汤 300克
【苏菜】清蒸鲥鱼,咸鲜,鲥鱼 1条600克，火腿 50克，鲜笋 50克，冬菇 50克，香葱 50克，姜 50克，淀粉 适量，盐 适量，胡椒粉 适量，猪油 50克
【苏菜】：清炖狮子头,清淡,五花肉 适量，莲藕 适量，白菜 适量，油菜心 适量，枸杞 适量，盐 适量，葱姜水 适量，白胡椒粉 适量，香油 适量
姑苏小炒“松仁鱼糜”,咸鲜,鳜鱼肉 150克，熟松仁 20克，青豌豆 20克，香菇粒 15克，荸荠粒 20克，红甜椒粒 20克，姜末 5克，葱末 5克，水淀粉 适量，胡椒粉 少许，盐 2克，味精 2克，白糖 5克，绍酒 15克，烹调油 适量
厨圣故里美食“彭城鱼丸”,咸鲜,鳜鱼肉 150克，肥五花肉 40克，泡粉丝碎 25克，红甜椒片 20克，冬笋片 20克，香菇片 20克，芦笋条 25克，水淀粉 适量，干玉米淀粉 适量，葱末 15克，姜末 10克，盐 2克，白糖 5克，味精 2克，胡椒粉 少许，绍酒 20克，烹调油 20克
苏州风味“樱桃肉方”,咸甜,五花肉 一块 300克，红糟汁 10克，冰糖 15克，酱油 10克，绍酒 20克，精盐 2克，味精 2克，白糖 15克，大葱 20克，姜片 15克，八角 2枚，香叶 1片，桂皮 2克，烹调油 适量，水淀粉 适量
【苏菜】无锡排骨,咸鲜,排骨 500克，大葱 1根，生粉 适量，生抽 适量，盐 适量，八角 两枚，黄酒 适量，桂皮 适量，白糖 适量
【苏菜】--酱汁排骨,咸鲜,排骨 750克，葱 10克，姜 10克，绍酒 20克，酱油 25克，白糖 40克，八角 2个，桂皮 2块，盐 5克，味精 5克
【苏菜】：无锡排骨,咸甜,子排 500克，葱 适量，姜 适量，酱油 50毫升，红曲粉 2克，绍酒 60毫升，白糖 25克，丁香 适量，八角 适量，桂皮 适量
【苏菜】花色菜卷,酸甜,卷心菜 4片，胡萝卜 适量，香菇 适量，黄瓜 1根，醋 5克，糖 5克，盐 2克，辣椒油 适量
【苏菜】传统主食---菜泡饭,清淡,米饭 一碗，青菜 两颗，盐 少许
宴客经典菜肴“苏州鸭方”,咸鲜,去骨鸭胸肉 两块 400克，青虾肉 120克，熟松子仁 25克，花椒 2克，香叶 1片，八角 2克，桂皮 2克，大葱段 30克，姜片 10克，盐 2克，味精 2克，绍酒 15克，干淀粉 适量，烹调油 适量
苏菜经典“响油鳝糊”,咸鲜,手撕烫鳝肉 300克，金华火腿 50克，冬笋丝 50克，芫荽 15克，大蒜末 25克，葱丝 20克，姜丝 15克，酱油 15克，老抽 5克，盐 1克，白糖 15克，味精 1克，绍酒 20克，白胡椒粉 2克，烹调油 适量
【苏菜】甜点小吃---江米糕,甜味,糯米 250克，紫薯 1个，蜜豆 150克，白芝麻 适量
营养丰富的杂疏酿肉丸,清淡,肉馅 200克，香菇 20克，黄瓜 半根，胡萝卜 胡萝卜 1根，葱姜 适量，淀粉 适量，马蹄 10克，盐 2克，胡椒粉 2克，鸡精 鸡精 2克，香油 5克，料酒 1勺
苏菜—白汁黄鳝,咸鲜,活黄鳝 500克，生姜 适量，葱头 适量，蒜头 适量，豆油 适量，料酒 适量，鸡精 适量，盐 适量
【苏菜】---扬州蛋炒饭,咸鲜,米饭 适量，鸡蛋 3个，鸡胸肉 50克，火腿 50克，大虾 6个，香菇 6个，海参 1个，冬笋 30克，豌豆 30克，葱花 适量，盐 适量，香油 适量，料酒 少许，胡椒粉 少许，猪油 适量，鸡汤 适量
【苏菜】南京名吃---鸭血粉丝汤,咸鲜,鸭血 250克，粉丝 适量，油豆腐 50克，熟鸭肫 适量，鸭肠 适量，鸭边腿 一个，葱 适量，姜 适量，香菜 适量，大料 3个，花椒 15粒，桂皮 一块，香叶 2片，陈皮 少许，料酒 10克，盐 适量，胡椒粉 适量，鸡精 少许，香油 适量
清蒸大闸蟹,咸鲜,公蟹 母蟹 各三只，生姜 适量，白糖 适量，醋 适量，啤酒 适量
卤汁面筋,咸甜,无锡油面筋 250克，干香菇 4朵，葱 适量，干辣椒 适量，八角 适量，蚝油 适量，老抽 适量，盐 适量，香油 适量，冰糖 适量
红烧狮子头,咸鲜,猪肉 适量，鹌鹑蛋 适量，马蹄 适量，面包糠 适量，生抽 适量，老抽 适量，冰糖 适量，黄酒 适量，桂皮 适量，香叶 适量
香菇糯米烧麦,清淡,肉馅 适量，香菇 适量，葱 适量，玉米粒 适量，糯米饭 适量，面粉 适量
双色糯米烧麦,五香,糯米 适量，肉末 适量，香菇 适量，胡萝卜 适量，葱姜 适量，火腿 适量，中筋面粉 适量，水 适量，盐 适量，生抽 适量，老抽 适量，鸡精 适量，胡椒粉 适量，十三香 适量
糖醋排骨,酸甜,小排 500克，料酒 一汤匙，生抽 一汤匙，老抽 半汤匙，香醋 三汤匙分两次放，糖 三汤匙，盐 半茶匙，味精 半茶匙，芝麻 半茶匙
萝卜丝饼,原味,白萝卜 适量，面粉 适量，火腿 适量，小葱 适量，鸡蛋 适量，芝麻 适量，食用油 适量，盐 适量，白糖 适量
蜜汁桂花糯米藕,咸甜,藕 两节，糯米 适量，桂花糖 适量，冰糖 适量
凤尾虾,咸鲜,虾 适量，盐 适量，鸡蛋液 适量，胡椒粉 适量，面粉 适量，清水 适量，面包糠 适量，番茄沙司 适量，色拉酱 适量，千岛酱 适量
蛋烧卖,咸鲜,五花肉 250g，鸡蛋 3个，山药 200g，葱姜汁 适量，料酒 适量，味精 适量，淀粉 适量，盐 适量
