菜名,口味,原料
莆仙红团(绿豆馅),甜味,糯米粉 350g，面粉 100g，绿豆 250g，白糖 50g，鲜鸡蕉叶 适量，清水 (煮绿豆)450g
福建油饼的做法和配方,咸鲜,大米 400g，黄豆 100g，葱花 适量，姜段 少许，食盐 适量
家庭版佛跳墙,原味,海参 2只，海蛏子 100g，鱿鱼爪 1只，猪肉 50g，杏鲍菇 1只，萝卜片 适量，洋葱丝 适量，葱 适量，蚝油 适量，料酒 适量，食盐 适量，十三香 适量，鸡精 适量，孜然粒 适量，姜 适量，蒜 适量
闽南带鱼饭,葱香,带鱼 一条，1000g左右，五花肉 200g，香菇 10颗，高丽菜 半颗，姜 少许，红葱头 5颗
闽南炣廋肉,酱香,梅头肉 250g，蒜 少许，蚝油 1匙，味极鲜 3匙
红糖糍粑,原味,糯米粉 120g，红糖 30g，芝麻 适量
虾仁胡萝卜粥,咸鲜,虾仁 适量，糯米 适量，玉米 适量，葱 适量，丝瓜 适量，水 适量，盐 适量
厦门海蛎煎,咸鲜,海蛎 500克，鸭蛋 2个，葱 2根，蒜苗 2根，地瓜粉 5勺，生抽 适量，油 适量，盐 适量
闽南粉仔粿,原味,肉 200g，花生 100g，巴浪鱼干 适量，干贝 少许，海蚌 5-6只，虾皮 适量，地瓜粉 适量
桂花红糖糍粑,甜味,糯米粉 适量，红糖 适量，水 适量，油 适量，桂花 适量，黄豆粉 适量（熟）
【闽南蚝仔煎】,咸香,牡蛎 500克，鸡蛋 一粒，青蒜 适量，胡萝卜 少许，红薯淀粉 适量，盐 少许，胡椒粉 一小勺
红糖糍粑,甜味,糯米粉 适量，红糖水 适量，熟黄豆粉 适量
红糖糍粑，槐花糯米糕,甜味,槐花 适量，糯米粉 适量，红糖 适量，油 少许
蛋皮燕,清淡,地瓜淀粉 750g，鸡蛋 15粒，猪肉馅 1000g（肥3瘦7），山药 1000g，香葱 200g，水 1115g，料酒 50g，盐 12g，鸡粉 9g，十三香粉 5g，地瓜淀粉 50g，生抽 40g，盐 5g，色拉油 100g
闽南菜干饭,咸鲜,包菜干 50g，米 2杯，五花肉 100g，干香菇 8朵，小鱿鱼干 2只，干葱头 5个，盐 适量，生姜 数片
仙草烧芋圆,甜味,木薯粉 200克，紫芋 50克，南瓜 50克，仙草粉 50克，白砂糖 80克
炒海鲜味地瓜粉,咸鲜,地瓜粉 150g，鱿鱼 适量，虾肉 适量，红萝卜 适量，炒香花生 适量，葱花 适量，生抽 适量，味精 适量
青椒酿肉,咸鲜,肉馅 适量，青椒 6个，盐 适量，糖 适量，料酒 适量，生抽 适量，蚝油 适量，老抽 适量，淀粉 适量，姜末 适量
麦糕煎,甜香,面粉 适量，红糖 适量，花生油 适量
糟肉,糟香,五花肉 500g，红酒糟 1勺，白糖 适量，盐巴 适量，鸡精 适量，食用油 少许，干香菇 2朵
河蚬汤,咸鲜,河蚬 适量，老萝卜干 适量，姜 适量，芹菜 适量
西天尾扁食,咸鲜,五花肉 一斤，葱花 适量，空心菜 一把，扁食皮 一斤，浓缩鸡汁 一汤匙，盐 适量
多彩芋圆,甜香,艾叶 200g，紫薯 500g，红心地瓜 500g，木薯粉 500g，面粉 半碗，白砂糖 半碗，水 适量
醉排骨,酸甜,肋排 500g，土豆 1个，葱 1根，蒜头 1颗，陈醋 2匙，白糖 2匙，鸡精 半匙，生抽 1勺，地瓜粉 2勺
红糟焖猪蹄,咸鲜,猪蹄 1500克，红糟 120克，料酒 180克，盐 3小匙，鸡精 2小匙，姜片 3片，清水 适量，冰糖 少许，料酒 2大匙，花椒 少许
芋圆,甜味,糯米粉 500g，木薯粉 500g，红薯 适量，紫薯 适量，抹茶粉 适量
厦门的“姜母鸭”,微辣,土鸭 半只，生姜 半块，辣椒 2个，桂皮 1个，八角 2个，盐 若干，冰糖 5粒，料酒 2勺，芝麻油 3勺
潮音潮人：潮汕炒薄壳,其他,薄壳 500克，辣椒 适量，蒜头 2颗，沙茶酱 适量，盐 少许，油 适量
茯苓糕,甜味,茯苓 50g，糯米粉 100g，大米粉 200g，牛奶 180g，熟猪油 30g，干桂花 10g，白糖 30g，熟芝麻 60g
炒米粉,中辣,米粉 400克，平菇 100克，青菜 100克，尖椒 两个，小米辣 三个，葱 五根，盐 三分之一茶匙，鸡粉 三分之一茶匙，生抽 两茶匙，老抽 一茶匙
沙县荠菜,原味,荠菜 适量，苏打粉 2克，黄酒 适量，盐 适量，味精 适量
沙县拌面,清淡,面条 300g，油 1勺，盐 1小勺，花生酱 3大勺，香油 1勺，葱 1根，大蒜 2粒，酱油 2勺
红糖糍粑,甜味,糍粑 3块，红糖 1-2勺，冰糖 2块
潮汕鲎粿,清淡,红薯淀粉 150克，粳米粉 50克，鲜虾 12个，香菇 6个，瑶柱 适量，鹌鹑蛋 6个，生抽 适量，花生酱 适量
二十九鱼丸走,原味,胖头鱼 适量，姜片 适量，葱片 适量，料理机 适量，食盐 适量，胡椒粉 适量，白糖 适量
闽南特色小吃～五香卷,咸鲜,豆皮 适量，猪肉 适量，洋葱 适量，葱头 适量，胡萝卜 适量，盐 适量，味精 适量，白糖 适量，鸡精 适量，肉味王调料 适量，地瓜粉 适量
素炒螺蛳粉,原味,螺蛳粉 200g，鸡蛋 1个，黄瓜 半个，胡萝卜 半个，菠菜 少量，色拉油 适量，酱油 适量，盐 适量，孜然 适量，鸡精 适量，十三香 适量
福建小吃 — 油饼,咸鲜,大米 1500g，黄豆 375g，清水 适量，葱花 适量，盐 5小匙，食用油 2.5L，味精 3小匙
“鸡蛋美食”海蛎煎,原味,海蛎 200g，红薯粉 50g，鸡蛋 2个，盐 2g，香菜 1g，葱 1g
潮音潮人：潮汕蚝烙,葱香,生蚝 300克，地瓜粉 100克，鸭蛋 2颗，葱 2根，芹菜 2根，猪油 适量，盐 适量，辣椒油 适量，鱼露 适量
银耳川鸭,其他,银耳 50g，鸭 1只，小葱 适量，青椒 1个，红椒 1个，盐 10g，糖 5g，老抽 5g，生抽 8g，料酒 10ml，胡椒粉 5g，姜 适量
闽南小吃-醋肉，简单而不失美味，吃过的人都说好！,原味,猪肉 300g，酱油 适量，料酒 适量，香醋 适量，地瓜粉 适量
土笋冻,其他,土笋 2500克，姜片 少许，盐 适量，味精 少许，糖 少许
蚝烙,咸鲜,牡蛎肉 适量，扇贝丁 适量（可有可无），鸭蛋 适量（没鸭蛋，鸡蛋代替），地瓜粉 适量，葱末 适量，胡椒粉 适量，食盐 适量，姜末 适量
步步莲升～～黄米糕,甜味,黄糯米 适量，面粉 适量，鸡蛋 适量，酵母 适量，白糖 适量，清水 适量
客家萝卜丸子,清淡,白萝卜 1条，盐 适量，油 3O克，胡椒粉 适量，淀粉 适量，葱花 少许
豆豉蒸排骨,咸鲜,排骨 400克，豆豉 适量，葱 3根，香菜 2根，蒜瓣 8颗，盐 适量，豆酱 适量，生粉 适量
午餐肉版螺蛳粉,酸辣,螺蛳粉 1包，午餐肉 200g，青菜 适量
福清紫菜饼,咸香,面粉 500g，五花肉 500g，紫菜 250g，胡萝卜 200g，盐 1勺，鸡精 2勺，生抽 3勺，料酒 1勺，白糖 1勺
一壶一家～酸辣螺蛳粉,酸辣,螺蛳粉 1包，水 适量，菠菜 几颗，香菜 少许，香葱 少许
#炖菜#山药肉骨茶,其他,猪肋排 750克，山药 200克，肉骨茶调料 一包，生抽 20毫升，老抽 20毫升，花雕酒 一汤匙，清水 适量
红糖糍粑,甜味,糍粑 一个，红糖 3勺，熟黄豆粉 2勺
芋头糕（福建小吃）,清淡,粘米粉 500g，芋头 500g
牛肉丸火锅 迷粉一枚 不知道大家是不是也这样打火锅？,原味,牛肉丸 500g，白萝卜 500g，生菜 350g，香芹 少量，蒜蓉油 少量，精盐 适量，鸡精 适量，土豆 250g，金针菇 200g，娃娃菜 250g，虾 500g
花甲瘦肉汤,原味,花甲 适量，瘦肉 适量，酒糟 适量，姜 适量，蒜蓉 适量，金不换 数小颗
客家特色沙茶焖猪手,原味,猪手 一个，花生米 300克，香菇 10个，盐 适量，沙茶酱 2勺，水 适量
沙茶牛肉,原味,牛肉片 400克，生抽 1勺，盐 1小勺，鸡精 1小勺，淀粉 2勺，食用油 适量，蒜 半个，姜 1片，洋葱 1个，沙茶酱 2勺，蚝油 1勺，鸡粉 1小勺，大葱 2根，泰椒 1个
椰青西米露,甜香,椰青 一个，西米 一小把，槟榔芋 一小块，椰汁 适量
炒米粉,原味,米粉 1份，西红柿 适量，白菜 适量，鸡蛋 3个，盐 适量，鸡精 适量，生抽 适量
红豆芋圆,甜味,木薯粉 100克，南瓜 100克，红豆 50克，红糖 适量，蜂蜜 适量
红糖油炒粑,甜味,糯米粉 250g，红糖 150g，茶油 适量，芝麻 适量
烧仙草,甜味,仙草粉 100克水，水 2000g，凉水 500g
芋头饭,咸鲜,芋头 一斤半，大米 一斤半，猪肉 三两，葱 适量，姜 适量，蒜 适量，盐 适量，虾皮 半两，鸡精 适量，食用油 适量
韭菜炒肉燕,咸鲜,肉燕 200g，韭菜 200g，蒜 10g，盐 1匙，味精 0.2匙
潮汕炒粉签,微辣,粉签 600g，肉饼 适量，虾仁 适量，火腿 2根，绿豆芽 4两，胡萝卜 半个，葱 2棵，鸡蛋 3个，红辣椒面 适量，盐 适量，鸡精 适量，酱油 适量
蛋皮肉丸,原味,鸡蛋 10个，红薯粉 15汤勺，猪肉 300克，山药 半截筷子长，小葱 适量，盐 适量，油 适量，生抽 适量
佛手瓜炒蛋,咸鲜,佛手瓜 适量，鸡蛋 适量，酱油 适量，蒜 适量，番茄 适量
咖喱鱼蛋,咖喱,鱼蛋 500克，咖喱 半盒，土豆 1个
莆田马糕,甜味,粘米粉 120克，糯米粉 60克，水 40克，糖粉 60克
福州年糕,甜味,糯米粉 140克，粘米粉 60克，水 130克，白糖 80克，花生 20克
闽式牛肉羹,清淡,牛肉 250g，生抽 半匙，番薯粉 3匙，小葱 一颗，姜丝 适量，盐 少许，芝麻香油 少许
古早味烧肉,酱香,牛肉 250g，柠檬 半个，淀粉 1匙，沙茶酱 2匙，五香粉 小半匙，黑胡椒粉 少许，香菜 适量，料酒 半匙，食用油 2匙，生抽 1匙，老抽 1匙
香芋蒸排骨,清淡,香芋 500g，排骨 适量，料酒 适量，啤酒 适量，鸡精 适量，盐 适量，葱 适量，黑胡椒粉 适量，淀粉 适量
沙茶鱿鱼,咸鲜,新鲜鱿鱼 600克，沙茶酱 2大勺，酱油 8克，姜末 2克，姜末 少许，葱花 适量，辣椒 少许
瑶柱萝卜糕,原味,白萝卜 7斤，叉烧 100克，干贝 50克，冬菇 40克，粘米粉 450克，澄面 50克
海蛎煎,原味,海蛎 适量，地瓜粉 适量，蒜叶 适量，盐巴 适量，酱油 适量，鸡蛋 适量，鸡精 适量
鸡蛋麻糍,咸鲜,麻糍 适量，鸡蛋 2个，小葱 适量，盐 适量，料酒 适量，植物油 适量
闽南小吃-牛肉羹,酸咸,牛里脊 80克，姜 1片，蒜 2个，香菜 适量，盐 适量，鸡精 适量，地瓜粉 适量，生抽 适量，醋 适量
蚵仔煎,咸鲜,海蛎 200g，鸡蛋 2个，红薯粉 100g，菠菜 50g，番茄酱 30g，味增 20g，白糖 20g，大葱 适量
【闽南】油泼金针菇,咸鲜,金针菇 1把，姜 3片，干辣椒 4个，蒜头 3个，生抽 2匙，鸡粉 1茶匙，盐 少许
【闽南】小烧咸肉,咸鲜,前腿肉 300克，蒜苗 1根，黑豆豉 1匙，生抽 3匙，味精 少许
【闽南】姜丝烧蛋,咸鲜,鸡蛋 2个，姜 1小块，生抽 2匙
【闽南】番茄杏鲍菇,咸鲜,杏鲍菇 1个，番茄 1个，蒜头 3个，味精 少许，盐 适量
【闽南】猪血糕炖白菜,咸鲜,猪血糕 200克，五花肉 1小块，蒜苗 1根，姜 3片，红辣椒 1个，油炸腐竹 100克，豆瓣酱 1匙，味精 少许，盐 适量
【闽南】香菇煸肉,咸鲜,新鲜香菇 200克，细西芹 1根，五花肉 1块，蒜头 2个，味精 少许，盐 适量
【闽南】小煸腊肉,咸鲜,腊肉 1块，蒜头 3个，细芹 1把，红辣椒 2个，青椒 1个，白酒 1匙，味精 少许，盐 适量
【闽南】葱香菜埔蛋,咸鲜,菜脯 1包，鸡蛋 2个，青葱 1根，白胡椒粉 1克，盐 少许，鸡粉 适量
【闽南】韭菜虾仁炒蛋,咸鲜,虾仁 200克，鸡蛋 2个，姜 3片，韭菜 1把，味精 少许，盐 适量，白胡椒粉 1克
