菜名,口味,原料
麻辣小龙虾,麻辣,小龙虾 1.5斤，莴笋 1根，葱 2段，姜 适量，蒜 5个，干辣椒 一把，花椒 99粒，洋葱 半个，啤酒 1大罐
蒜香腊鸡腿,蒜香,腊鸡腿 1只，蒜头 3瓣，食用油 1勺，干椒粉 1匙，花椒油 1匙，酱油 少许
剁椒萝卜皮,中辣,萝卜 适量，盐 适量，剁椒 适量，糖 适量
腊味合蒸,麻辣,腊鸡腿 半个，麻辣肠 半根，腊鱼 半只，食用油 少许
剁椒鱼头,中辣,鱼头 一个，剁椒酱 一小碗，料酒 两勺，生抽 两勺，大蒜 3g，生姜 多一些，糖 半勺，胡椒粉 四分之一勺，大葱 半根
火麻仁剁椒鱼头韧豆腐,咸鲜,团鱼头 1个，豆腐 1块，火麻仁 15克，姜末 适量，蒜末 适量，生菜 适量，剁椒酱 适量，豆瓣酱 适量，蒸鱼豉油 适量，蚝油 适量，冰糖 适量
坛子菜蒸五花肉,中辣,坛子菜 半斤，五花肉 半斤，蒜子 2瓣，盐 适量，龙牌酱油 适量，鸡精 适量，乡里菜子油 适量
小炒牛肉,咸鲜,牛肉 500克，香菜 150克，葱 20克，姜 10克，干辣椒 5克，玉米淀粉 10克，鸡蛋 1个，蚝油 10克，料酒 5克，生抽 10克，盐 2小勺
蒸剁椒鱼头,中辣,草鱼头 800克，剁辣椒 4勺，白糖 1勺，生抽 3勺，蚝油 2勺，油 2勺
芷江鸭,干红辣椒的做法,芷江鸭 一只，五花肉 半斤，青椒 适量，红椒 适量，小葱 一把，姜 一块，洪江甜酱 2大勺，大蒜 10个，干红辣椒 根据口味酌情用量，油 适量，盐 适量，味精 适量，老抽 2勺，酌情添加根据菜色，白芝麻 适量，胡椒粉 适量，木姜油 根据个人口味添加。味道比较冲，一勺即可，米酒 一瓶，藤椒油 可以不加。我个人喜好麻一点才加的，八角 四个，桂皮 一小块，香叶 一片
剁椒鱼头,中辣,鱼头 适量，剁椒 适量，蒸鱼豉油 适量，葱 适量，生姜 适量，料酒 适量，胡椒粉 适量
剁椒鱼头,中辣,花鲢鱼头 一只，泡野山椒 50g，泡红辣椒 70g，生姜 5g，大蒜 15g，小葱 适量，鸡精 适量，胡椒粉 适量，生抽 适量，白糖 适量，盐 适量，料酒 适量
剁椒鱼头,咸鲜,鱼头 一个，剁椒 适量，葱 适量，料酒 适量，蒸鱼豉油 适量，盐 适量，姜 适量
深夜麻辣小龙虾的配方来喽！,麻辣,小龙虾 3斤，姜片 5片，葱段 2段，白芷 2片，青麻椒 10g，红麻椒 20g，干辣椒 20g，辣椒酱 2勺，啤酒 1瓶，盐 适量，豆瓣酱 20g，蒜 1头，香油 适量，十三香 适量
炒汤粉（湖南汤粉）,微辣,河粉 100g，绿豆芽 50g，鸡蛋 1只，油 适量，盐 适量，酱油 少许，鸡精 少许，辣酱 （可不放）少许，麻油 少许，香葱 1根
剁椒鱼头,其他,鱼头 1个，剁椒 3大勺，生姜片 少许，小葱 少许，盐 1小勺，生抽 2勺，蚝油 2勺
剁椒鱼头,原味,鱼头 适量，蒸鱼豉油 适量，剁椒 适量，油 适量，料酒 适量
麻辣小龙虾,麻辣,小龙虾 几个，食用油 60克，葱姜 适量，清水 200克，花椒 适量，八角 1个，干辣椒 小许，牛油火锅底料 10克，食盐 1克，鸡精 1克，白糖 5克，菠萝酒 小许，香叶 小许
外婆菜炒鸡蛋,中辣,外婆菜 少许，鸡蛋 2个，食用油 少许
剁椒鱼头,甜辣,花鲢鱼头 一个，剁椒 适量，豆豉 适量，啤酒 适量，白糖 适量
麻辣小龙虾,麻辣,小龙虾 1000克，食用油 200ml，食盐 半勺，生抽 2勺，料酒 2勺，八角 3顆，桂皮 2节，香叶 4片，干辣椒 10个，生姜片 3片，葱段 3段，蒜瓣 3瓣，十三香 1勺，辣椒面 2勺
麻辣小龙虾,微辣,小龙虾 适量，豆瓣酱 适量，葱 适量，姜 适量，油 适量，盐 适量，料酒 适量，花椒 适量，辣椒 适量，十三香 适量，鸡精 适量
香辣小龙虾,中辣,小龙虾 2斤，大蒜 适量，姜 适量，大葱 适量，干辣椒 适量，花椒 适量，青辣椒 适量，啤酒 一瓶，十三香 适量，料酒 适量，盐 适量，油 适量，生抽 适量，糖 适量，柠檬汁 适量
辣炒小龙虾,中辣,小龙虾 一斤半，小龙虾料 适量，花椒 适量，大料 适量，桂皮 适量，葱 适量，姜 适量，蒜 适量，十三香 适量，酱油 适量，蒸鱼豉油 适量，蚝油 适量
麻辣小龙虾,麻辣,龙虾 2斤半，啤酒 一瓶，黄瓜 一根，大蒜 六瓣，大葱 半根，生姜 四片，青椒 适量，小葱香菜 少许，洋葱 半个，红椒 适量，十三香 一勺匙，五香粉 一勺匙，豆瓣酱 两勺匙，盐 1勺，老抽 1勺匙，生抽 3勺匙
剁椒鱼头,咸鲜,鱼头 1只，剁椒 适量，葱 2根，姜片 5片，蒜头 3颗，生抽 1匙，食用油 3勺，盐 适量
香辣龙虾,微辣,龙虾 五斤，葱 适量，姜 适量，小米椒 六支，干辣椒 三支，藤椒 适量，八角 适量，桂皮 一片，蒜 适量，油 适量，盐 适量，生抽 适量，老抽 适量，醋 适量，糖 适量，料酒 适量
双色鱼头,中辣,胖头鱼 1个，大红辣椒 1个，小红辣椒 10个，泡青辣椒 100g，大蒜 2颗，姜 20g，植物油 10g，盐 3g，生抽 1勺，蒸鱼豉油 1勺，料酒 50g，香葱 20g，花椒 1g，香醋 少许
擂辣椒茄子皮蛋,酸辣,茄子 1个，皮蛋 2个，青椒 各1个，红椒 适量，蒜 少许，芝麻油 少许
双椒蒸鱼,原味,鲈鱼 1条，青剁椒 适量，红剁椒 适量，蒜 适量，葱 适量，姜 适量，油 适量，料酒 适量
剁椒鱼头,麻辣,鳙鱼头 1500g，葱 10g，姜 10g，蒜 10g，白萝卜片 20g，盐 5g，味精 5g，鸡精 5g，胡椒粉 5g，剁椒 200g
简单易做自制湖南米豆腐,咸香,粘米粉 200g，水 400ml，食用碱 3g，盐 适量，海带丝 少许，榨菜 少许，油 1勺，瘦肉 30g，香葱 1根
剁椒鱼头,咸鲜,花鲢鱼头 2500克，剁辣椒 200克，葱花 20克，葱白 20克，白糖 2勺，姜末 20克，蒜末 20克，鸡精 5克，生抽 10克，小米辣 3个，胡椒粉 3克
剁椒鱼头，最正宗的做法，8分钟出锅，比饭店好吃一百倍，简单易学，全家都爱吃,酸辣,鱼头 1500克，葱 适量，姜 适量，蒜 适量，蒸鱼豉油 10ml，生抽 10ml，蚝油 10ml，陈醋 5ml，盐 10g
湖南坛子伏鱼,原味,腊鱼 2块，蒜苗 2根，青椒 2只，油 适量
剁椒鱼头,微辣,鱼头 一个，剁椒 三勺，葱 适量，姜 适量，蒜 适量，生抽 适量，料酒 适量，糖 适量，植物油 适量，胡椒粉 适量，五香粉 适量，盐 适量，白酒 适量
麻辣小龙虾,麻辣,小龙虾 1000g，大葱果 10g，姜 10g，蒜 10g，香叶 3g，草果 2g，花椒 4g，辣椒 8g，食用油 20g，盐 5g，白糖 2g
双椒鱼头,中辣,鱼头 1个，小葱 适量，大蒜 半头，生姜 1个，豆豉 2勺，鸡精 1勺，蚝油 1勺，料酒 适量，盐 适量，生抽 适量，油 适量
街头小吃    臭豆腐,其他,豆腐 1块，臭豆腐 2块，芝麻酱 1勺，水 适量，葱 适量，香菜 适量，糖 适量
小炒牛肉,中辣,牛肉 一块，红辣椒 适量，大葱 适量，芹菜 适量，酸姜 适量，酸辣椒 适量，青椒 适量，豆瓣酱 少许，盐 适量，料酒 适量，淀粉 适量，酱油 适量，胡椒粉 适量
啤酒剁椒鱼头,中辣,胖头鱼头 半个，鱼尾 适量，啤酒 1瓶，葱 适量，姜 适量，蒜 1头，剁椒酱 三大勺，生抽 一勺，料酒 两勺，干辣椒碎 一小勺，胡椒粉 适量
麻辣小龙虾,原味,小龙虾 500g，干红椒 50g，姜片 50g，蒜子 50g，五香粉 （或十三香）20g，花椒 50g，豆瓣酱 g
双色剁椒鱼头,原味,鱼头 1个，青剁椒 适量，葱 适量，蚝油 少许，红剁椒 适量，姜 适量，蒜 适量，料酒 适量，味精 适量
土匪鸡,中辣,鸡块 约500克，姜片 约20片，红葱头 2颗，蒜末 1大匙，红萝卜片 75克，西芹 150克，生抽 2大匙，黑椒粉 1/2大匙，红糖粉 1大匙，精盐 1/2小匙，白酒 2大匙，花椒 2小匙，八角 1朵，桂皮 1手指，干辣椒 2枚，小茴香 2小匙，八角 1朵，香叶 3片，陈皮 1块，生抽 2大匙，老抽 1大匙，胡椒粉 1小匙，红糖粉 1/2大匙，白酒 1大匙，辣椒屑 1/2大匙
辣炒小干鱼,原味,小干鱼 2两，青椒 适量，姜末 适量，豆豉 适量，红椒 适量
吉庆有鱼剁椒鱼头,微辣,草鱼头 1个，料酒 15g，盐 2g，白胡椒粉 0.5g，蒜末 15g，泡椒碎 适量，剁椒 2大勺，姜丝 10g，蒜末 15g，料酒 2勺，蒸鱼豉油 2勺
炒血鸭,原味,鸭子 1只，姜蒜 适量，干红椒 适量，青红椒 适量，鸭血 1小包
酸辣魔芋豆腐,原味,魔芋豆腐 500g，红椒 适量，泡椒 适量，蒜子 适量，葱段 适量
腌萝卜干炒腊肉,咸鲜,腌萝卜干 100克，腊肉 50克，泡发木耳 40克，食用油 2勺，生抽 2勺，蚝油 1勺，葱姜末 适量，小米椒圈 适量，鸡精 适量
苦瓜酿肉,咸鲜,苦瓜 1根，肉馅 200克，虾仁 40克，香菇 1个，鸡蛋 1个，生抽 10克，料酒 5克，五香粉 1克，姜末 适量，淀粉 适量，盐 适量，食用油 适量
剁椒鱼头,中辣,鱼头 500克左右，自制剁椒 3匙羹，泡椒 适量，葱花 2根，生抽 2匙羹，花生油 2匙羹，料酒 1匙羹，姜丝 适量，白胡椒粉 少许
糖油粑粑,甜味,水磨糯米粉 400克，开水 160克，红糖 30克，油 适量
手撕包菜,微辣,包菜 250克，培根 3片，干辣椒 7个，蒜 4瓣，生抽 10克，香醋 10克，盐 适量，花椒 适量，食用油 适量
香辣田鸡,中辣,田鸡 250g，红辣椒 5个，大蒜 5个，紫苏 2颗，花椒 1g，韭菜花 20g，植物油 10g，盐 5g，生抽 1勺，蛋白 1个，淀粉 适量
红烧龙虾,微辣,龙虾 2斤，青椒 3个，生姜 1块，葱 4颗，大蒜 2颗，尖椒 5个
香干蒸油渣,中辣,油渣 适量，攸县香干 适量，盐 适量，味精 适量，豆豉 适量，辣椒粉 适量，蚝油 适量，酱油 适量，蒸鱼豉油 适量
糯米蒸排骨,原味,排骨 500g，糯米 500g，生姜 适量，大蒜 适量，干辣椒 适量，八角 适量，花椒粉 适量，料酒 适量，醋 适量，盐 适量，鸡精 适量，老抽 适量，生抽 适量，葱花 适量，玉米叶 适量
经典湘菜辣椒炒肉,中辣,猪腿肉 150g，辣椒 200g，红辣椒 2个，植物油 10g，盐 5g，生抽 1勺，老抽 1勺，料酒 1勺，大蒜 3颗
剁椒蒸鱼头,微辣,鱼头 1个，油 适量，盐 适量，剁椒 适量，蒜 适量，白胡椒粉 适量，豆豉酱 适量，鸡精 适量，香葱 适量，姜 1块
珍珠丸子,原味,猪肉馅 360克，圆糯米 120克，胡萝卜碎 40克，胡萝卜花片 约200克，鸡蛋 2个，生抽 8克，盐 2克，香油 2克，淀粉 8克，姜末 5克，白胡椒粉 少许，香葱碎 少许
双色剁椒鱼头,咸鲜,花鲶鱼头 1个，野山椒 100克，红小米辣 100克，蒜粒 50克，食用油 50克，生抽酱油 20克，白糖 10克，蚝油 10克，豆豉 10克，葱花 适量
湖南新化雪花丸子,葱香,猪肉 500g，姜 3片，葱 1颗，鸡蛋 1个，食盐 1勺，鸡精 1勺，料酒 2勺，生抽 1勺
栖凤渡鱼粉,中辣,鱼骨 适量，鱼杂 适量，米粉 适量，姜末 适量，蒜头 适量，葱花 适量，郴州豆油 适量，油辣子 适量，酱油 适量，鸡粉 适量，盐 适量，山茶油 适量
剁椒鱼头,微辣,鱼头 1个，剁椒 适量，姜末 适量，蒜末 适量，味精 适量，食用油 适量，葱花 适量，蒸鱼豉油 适量
浇汁臭豆腐,中辣,长沙臭豆腐 2包，油 适量，盐 适量，青椒 半个，胡萝卜 半个，五香粉 适量，蒜 适量，生抽 适量，陈醋 适量，玉米淀粉 适量，鸡蛋 1个，白糖 适量
糖油粑粑,甜味,糯米粉 适量，红糖 适量
超简单剁椒鱼头,中辣,鱼头 适量，剁椒 适量，生姜 四片，葱 一根，油 适量，蒸鱼豉油 适量，白酒 适量
酸豆角炒肉末（附酸豆角快速的做法）,酸辣,酸豆角 300g，小米辣 5个，大蒜 5粒，肉末 50g，植物油 10g，盐 2g，生抽 1勺，老抽 少许
酸辣刮凉粉,酸辣,豌豆粉 100g，香菜 3颗，榨菜 20g，植物油 20g，芝麻油 2勺，香葱 1颗，盐 3g，生抽 2勺，老抽 1勺，辣椒油 1勺，香醋 2勺
回味米粉,原味,米粉 一个，剩菜 少许，火锅丸子 几个，葱花 少许，酱油 适量
剁椒鱼头,中辣,鲢鱼头 1个，青杭椒 1个，剁辣椒 适量，食用油 适量，料酒 适量，香葱 3根，生姜 6片，食盐 1小勺
剁椒鸡杂,微辣,鸡杂 300克，剁椒 三茶匙，青蒜 四根，鸡粉 适量，姜 适量，花椒 适量，料酒 两茶匙
红香绿玉（剁椒鱼头）,微辣,鱼头 一个，剁椒 适量，葱 适量，姜 适量，蒜 适量，料酒 适量，海鲜酱油 适量，蚝油 适量，白糖 适量，西兰花 适量
红糖粑粑——电压力锅版,甜味,糯米粉 适量，红糖 适量，白芝麻 适量，食用油 适量
剁椒土豆,微辣,土豆 两个，剁椒 一大碟，青蒜 一根，生抽 一茶匙，鸡精 三分之一茶匙
剔骨肉,咸鲜,猪大骨棒 750g，大葱 适量，姜 适量，大料 适量，花椒 适量，料酒 2勺，大蒜 2瓣，香菜 1棵，香油 1勺，辣椒油 1勺，酱油 1勺，米醋 1勺
珍珠丸子,其他,猪肉馅 250克，糯米 100克，鸡蛋清 20克，蚝油 5克，生抽 5ml，盐 4克，葱 适量，姜 适量
毛氏红烧肉,咸鲜,五花肉 500g，冰糖 50g，姜 5g，蒜 5g，料酒 少量，花椒 5g，八角 5g，桂皮 5g，香叶 5g
湖南腊肉炒冬笋,咸香,湖南腊肉 50g，净冬笋 250g，大蒜叶 3根，干辣椒 5个，盐 2g，生抽 5ml
剁椒蒸鸡翅,微辣,鸡翅中 16个，剁椒 两大勺，葱 适量，料酒 适量，盐 适量，白糖 适量，蒜 适量，姜 适量
糖油粑粑——百吃不厌的长沙小吃,甜香,糯米粉 500克，片糖 300克，植物油 适量，清水 适量
农家姜炒鸭,微辣,鸭子 半只，子姜 50g，青蒜 40g，青辣椒 2个，红辣椒 2个，蒜瓣 10个，鸡精 3g，白胡椒粉 2g，蚝油 5g，盐 3g
糯米蒸排骨,咸香,排骨 400克，糯米 50克，蚝油 1匙，海天黄豆酱 2匙，酱油 1匙，料酒 1匙，大蒜 4粒，白糖 少许，淀粉 2匙，盐 适量
剁椒鱼头,中辣,胖头鱼鱼头 1500g（鳙鱼鱼头），剁椒 250g，食用油 80g，食盐 10g，鸡精 2g，白胡椒粉 1.5g，葱 适量，姜 适量，蒜 适量
珍珠丸子,原味,糯米 100g，肉馅 100，枸杞 适量
剁椒烧鱼头,咸鲜,鲢鱼头 1个，料酒 3大勺，郫县豆瓣酱 1勺，剁椒酱 3大勺，姜片 数片，白糖 适量，蒜叶 适量（或葱末）
剁椒鱼头,中辣,花莲鱼头 适量，玉米 适量，剁椒 适量，红椒 适量，葱 适量，料酒 适量，盐 适量，蒜头 适量，十三香 适量，姜 适量
